name,source,url,category,abv,price,quantity,single_vol,total_vol,ml_per_dollar,alcohol_vol,alc_per_dollar
Backpaddle Blonde Ale,The Beer Store,http://www.thebeerstore.ca/beers/backpaddle-blonde-ale,Ale,4.3,17.95,6,473,2838,158.11,122,6.8
Backpaddle Blonde Ale,The Beer Store,http://www.thebeerstore.ca/beers/backpaddle-blonde-ale,Ale,4.3,69.95,24,473,11352,162.29,488,6.98
Badger Fursty Ferret,The Beer Store,http://www.thebeerstore.ca/beers/badger-fursty-ferret,Ale,4.4,3.65,1,500,500,136.99,22,6.03
Badger Fursty Ferret,The Beer Store,http://www.thebeerstore.ca/beers/badger-fursty-ferret,Ale,4.4,20.95,6,500,3000,143.2,132,6.3
Badger Fursty Ferret,The Beer Store,http://www.thebeerstore.ca/beers/badger-fursty-ferret,Ale,4.4,69.95,20,500,10000,142.96,440,6.29
Barnstormer Flight Delay,The Beer Store,http://www.thebeerstore.ca/beers/flight-delay-ipa,Ale,6.5,3.05,1,473,473,155.08,30,10.08
Barnstormer Flight Delay,The Beer Store,http://www.thebeerstore.ca/beers/flight-delay-ipa,Ale,6.5,17.85,6,473,2838,158.99,184,10.33
Barnstormer Flight Delay,The Beer Store,http://www.thebeerstore.ca/beers/flight-delay-ipa,Ale,6.5,69.55,24,473,11352,163.22,737,10.61
Barnstormer Flight Delay,The Beer Store,http://www.thebeerstore.ca/beers/flight-delay-ipa,Ale,6.5,255.0,96,473,45408,178.07,2951,11.57
Barnstormer Watermelon,The Beer Store,http://www.thebeerstore.ca/beers/barnstormer-watermelon,Ale,4.1,3.25,1,473,473,145.54,19,5.97
Barnstormer Watermelon,The Beer Store,http://www.thebeerstore.ca/beers/barnstormer-watermelon,Ale,4.1,19.5,6,473,2838,145.54,116,5.97
Barnstormer Watermelon,The Beer Store,http://www.thebeerstore.ca/beers/barnstormer-watermelon,Ale,4.1,78.0,24,473,11352,145.54,465,5.97
Barrelshed No. 1,The Beer Store,http://www.thebeerstore.ca/beers/barrelshed-no-1,Ale,6.5,14.95,6,330,1980,132.44,128,8.61
Barrelshed No. 1,The Beer Store,http://www.thebeerstore.ca/beers/barrelshed-no-1,Ale,6.5,50.85,24,330,7920,155.75,514,10.12
Beaus Full Time IPA ,The Beer Store,http://www.thebeerstore.ca/beers/beaus-full-time-ipa,Ale,6.7,4.95,1,600,600,121.21,40,8.12
Beaus Full Time IPA ,The Beer Store,http://www.thebeerstore.ca/beers/beaus-full-time-ipa,Ale,6.7,19.8,4,600,2400,121.21,160,8.12
Beaus Full Time IPA ,The Beer Store,http://www.thebeerstore.ca/beers/beaus-full-time-ipa,Ale,6.7,59.4,12,600,7200,121.21,482,8.12
Beaus Lug Tread,The Beer Store,http://www.thebeerstore.ca/beers/beaus-lug-tread-lagered-ale,Ale,5.2,9.95,4,355,1420,142.71,73,7.42
Beaus Lug Tread,The Beer Store,http://www.thebeerstore.ca/beers/beaus-lug-tread-lagered-ale,Ale,5.2,59.7,24,355,8520,142.71,443,7.42
